supplier_id,supplier_name,supplier_type,risk_level,compliance_issues,key_terms,past_performance,negotiate_recommendation,supply_chain_disruption,quality_metrics,cost_metrics
S0015,Supplier 15,Distributor,High,Non-Compliance with Standards,"45-day payment, 10-day delivery",Good,"Seek alternative suppliers, Adjust delivery schedules, Include penalty clauses for late delivery",No,"1.81% defect rate, Meets standards","$66.75/unit, $5844.03 total cost"
S0016,Supplier 16,Service Provider,Low,Late Delivery,"30-day payment, 5-day delivery",Fair,Include compliance monitoring,Yes,"1.7% defect rate, Meets standards","$59.78/unit, $6717.86 total cost"
S0017,Supplier 17,Service Provider,Medium,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,"Seek alternative suppliers, Include compliance monitoring",No,"2.81% defect rate, Meets standards","$60.29/unit, $6205.49 total cost"
S0018,Supplier 18,Distributor,Medium,Late Delivery,"45-day payment, 10-day delivery",Fair,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"2.48% defect rate, Meets standards","$50.83/unit, $5695.05 total cost"
S0019,Supplier 19,Manufacturer,Medium,,"45-day payment, 10-day delivery",Excellent,"Adjust delivery schedules, Seek alternative suppliers",No,"1.25% defect rate, Meets standards","$66.71/unit, $5756.32 total cost"
S0020,Supplier 20,Service Provider,Medium,Substandard Quality,"45-day payment, 10-day delivery",Excellent,"Include compliance monitoring, Adjust delivery schedules",No,"2.24% defect rate, Meets standards","$57.64/unit, $6681.41 total cost"
S0021,Supplier 21,Distributor,Low,,"60-day payment, 7-day delivery",Poor,Adjust delivery schedules,No,"1.53% defect rate, Meets standards","$50.55/unit, $5398.85 total cost"
S0022,Supplier 22,Manufacturer,Medium,,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"4.21% defect rate, Meets standards","$68.49/unit, $5914.86 total cost"
S0023,Supplier 23,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Good,Include penalty clauses for late delivery,No,"2.91% defect rate, Meets standards","$58.8/unit, $5129.89 total cost"
S0024,Supplier 24,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Excellent,Adjust delivery schedules,Yes,"1.74% defect rate, Meets standards","$63.49/unit, $5515.93 total cost"
S0025,Supplier 25,Service Provider,Medium,Substandard Quality,"60-day payment, 7-day delivery",Good,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"1.65% defect rate, Meets standards","$60.8/unit, $5272.81 total cost"
S0026,Supplier 26,Distributor,High,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Seek alternative suppliers, Adjust delivery schedules",Yes,"4.27% defect rate, Meets standards","$65.79/unit, $5685.45 total cost"
S0027,Supplier 27,Manufacturer,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"3.23% defect rate, Meets standards","$69.25/unit, $6431.27 total cost"
S0028,Supplier 28,Retailer,High,Late Delivery,"30-day payment, 5-day delivery",Fair,"Seek alternative suppliers, Include compliance monitoring, Include penalty clauses for late delivery",No,"3.01% defect rate, Meets standards","$62.42/unit, $5753.75 total cost"
S0029,Supplier 29,Service Provider,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,Include compliance monitoring,No,"2.79% defect rate, Meets standards","$52.34/unit, $5917.93 total cost"
S0030,Supplier 30,Manufacturer,Medium,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Include compliance monitoring, Seek alternative suppliers",No,"3.98% defect rate, Meets standards","$61.76/unit, $5947.18 total cost"
S0031,Supplier 31,Retailer,Medium,Non-Compliance with Standards,"45-day payment, 10-day delivery",Fair,"Adjust delivery schedules, Seek alternative suppliers",No,"3.2% defect rate, Meets standards","$50.63/unit, $6208.49 total cost"
S0032,Supplier 32,Retailer,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Excellent,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",No,"1.48% defect rate, Meets standards","$56.9/unit, $5324.41 total cost"
S0033,Supplier 33,Retailer,Low,,"30-day payment, 5-day delivery",Poor,Adjust delivery schedules,No,"1.28% defect rate, Meets standards","$51.48/unit, $5165.48 total cost"
S0034,Supplier 34,Distributor,Medium,Late Delivery,"60-day payment, 7-day delivery",Good,"Include compliance monitoring, Adjust delivery schedules",Yes,"2.07% defect rate, Meets standards","$55.71/unit, $6893.82 total cost"
S0035,Supplier 35,Retailer,Medium,Substandard Quality,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers",Yes,"4.89% defect rate, Meets standards","$67.97/unit, $5576.55 total cost"
S0036,Supplier 36,Manufacturer,Medium,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"1.33% defect rate, Meets standards","$54.24/unit, $6523.28 total cost"
S0037,Supplier 37,Manufacturer,Low,Substandard Quality,"60-day payment, 7-day delivery",Good,Seek alternative suppliers,Yes,"3.15% defect rate, Meets standards","$65.65/unit, $6067.82 total cost"
S0038,Supplier 38,Retailer,High,Late Delivery,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"4.68% defect rate, Meets standards","$57.93/unit, $6368.93 total cost"
S0039,Supplier 39,Retailer,Low,,"45-day payment, 10-day delivery",Good,Include compliance monitoring,No,"1.31% defect rate, Meets standards","$57.38/unit, $5092.03 total cost"
S0040,Supplier 40,Retailer,High,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Include compliance monitoring, Adjust delivery schedules",No,"1.76% defect rate, Meets standards","$66.89/unit, $6361.98 total cost"
S0041,Supplier 41,Distributor,High,Substandard Quality,"45-day payment, 10-day delivery",Fair,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",Yes,"3.48% defect rate, Meets standards","$58.25/unit, $6687.71 total cost"
S0042,Supplier 42,Retailer,Low,Non-Compliance with Standards,"30-day payment, 5-day delivery",Excellent,Seek alternative suppliers,No,"1.06% defect rate, Meets standards","$69.65/unit, $6526.35 total cost"
S0043,Supplier 43,Distributor,High,Non-Compliance with Standards,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Include compliance monitoring, Adjust delivery schedules",No,"4.71% defect rate, Meets standards","$53.98/unit, $6094.13 total cost"
S0044,Supplier 44,Distributor,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,Include penalty clauses for late delivery,Yes,"1.43% defect rate, Meets standards","$67.59/unit, $5074.16 total cost"
S0045,Supplier 45,Service Provider,Low,,"60-day payment, 7-day delivery",Excellent,Include compliance monitoring,No,"1.24% defect rate, Meets standards","$55.42/unit, $5986.83 total cost"
S0046,Supplier 46,Service Provider,Low,Late Delivery,"45-day payment, 10-day delivery",Excellent,Include compliance monitoring,No,"1.77% defect rate, Meets standards","$61.11/unit, $5542.13 total cost"
S0047,Supplier 47,Retailer,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules",No,"3.44% defect rate, Meets standards","$52.4/unit, $6123.58 total cost"
S0048,Supplier 48,Distributor,Medium,,"45-day payment, 10-day delivery",Good,"Include compliance monitoring, Seek alternative suppliers",Yes,"4.76% defect rate, Meets standards","$50.94/unit, $6157.31 total cost"
S0049,Supplier 49,Retailer,High,,"60-day payment, 7-day delivery",Good,"Seek alternative suppliers, Adjust delivery schedules, Include compliance monitoring",Yes,"2.92% defect rate, Meets standards","$57.46/unit, $5791.57 total cost"
S0050,Supplier 50,Retailer,Low,,"30-day payment, 5-day delivery",Excellent,Include compliance monitoring,No,"3.14% defect rate, Meets standards","$53.59/unit, $6506.31 total cost"
S0051,Supplier 51,Distributor,Low,Late Delivery,"30-day payment, 5-day delivery",Excellent,Include compliance monitoring,Yes,"2.77% defect rate, Meets standards","$59.76/unit, $5697.75 total cost"
S0052,Supplier 52,Distributor,Medium,Substandard Quality,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"3.15% defect rate, Meets standards","$54.86/unit, $5459.24 total cost"
S0053,Supplier 53,Manufacturer,Low,Non-Compliance with Standards,"45-day payment, 10-day delivery",Fair,Adjust delivery schedules,Yes,"2.08% defect rate, Meets standards","$50.78/unit, $6254.14 total cost"
S0054,Supplier 54,Manufacturer,Medium,,"45-day payment, 10-day delivery",Fair,"Seek alternative suppliers, Include penalty clauses for late delivery",No,"3.78% defect rate, Meets standards","$64.37/unit, $5188.48 total cost"
S0055,Supplier 55,Retailer,High,Substandard Quality,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",Yes,"3.84% defect rate, Meets standards","$56.68/unit, $5624.21 total cost"
S0056,Supplier 56,Retailer,High,Substandard Quality,"60-day payment, 7-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules, Include compliance monitoring",Yes,"3.08% defect rate, Meets standards","$53.45/unit, $5801.29 total cost"
S0057,Supplier 57,Distributor,Low,,"30-day payment, 5-day delivery",Excellent,Include penalty clauses for late delivery,No,"4.44% defect rate, Meets standards","$68.96/unit, $5151.28 total cost"
S0058,Supplier 58,Distributor,Medium,Late Delivery,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"3.64% defect rate, Meets standards","$59.77/unit, $5183.52 total cost"
S0059,Supplier 59,Service Provider,Medium,Substandard Quality,"45-day payment, 10-day delivery",Poor,"Adjust delivery schedules, Include compliance monitoring",No,"2.97% defect rate, Meets standards","$61.26/unit, $6089.67 total cost"
S0060,Supplier 60,Manufacturer,Medium,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"4.37% defect rate, Meets standards","$69.24/unit, $6424.57 total cost"
S0061,Supplier 61,Service Provider,Medium,Late Delivery,"45-day payment, 10-day delivery",Excellent,"Seek alternative suppliers, Adjust delivery schedules",No,"3.34% defect rate, Meets standards","$52.36/unit, $6800.53 total cost"
S0062,Supplier 62,Distributor,High,Substandard Quality,"30-day payment, 5-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules, Seek alternative suppliers",Yes,"1.3% defect rate, Meets standards","$53.65/unit, $6777.96 total cost"
S0063,Supplier 63,Manufacturer,High,Substandard Quality,"45-day payment, 10-day delivery",Good,"Adjust delivery schedules, Include penalty clauses for late delivery, Include compliance monitoring",No,"4.21% defect rate, Meets standards","$64.2/unit, $5783.26 total cost"
S0064,Supplier 64,Retailer,High,Substandard Quality,"45-day payment, 10-day delivery",Good,"Include compliance monitoring, Adjust delivery schedules, Include penalty clauses for late delivery",No,"4.38% defect rate, Meets standards","$61.22/unit, $6235.29 total cost"
S0065,Supplier 65,Manufacturer,Low,Late Delivery,"30-day payment, 5-day delivery",Good,Seek alternative suppliers,Yes,"1.19% defect rate, Meets standards","$58.31/unit, $5224.64 total cost"
S0066,Supplier 66,Manufacturer,High,Late Delivery,"30-day payment, 5-day delivery",Poor,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"4.08% defect rate, Meets standards","$52.24/unit, $5177.89 total cost"
S0067,Supplier 67,Manufacturer,Medium,Substandard Quality,"60-day payment, 7-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"4.92% defect rate, Meets standards","$61.68/unit, $5522.06 total cost"
S0068,Supplier 68,Retailer,Low,,"30-day payment, 5-day delivery",Poor,Include penalty clauses for late delivery,Yes,"4.16% defect rate, Meets standards","$58.83/unit, $6335.16 total cost"
S0069,Supplier 69,Distributor,Medium,,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"2.59% defect rate, Meets standards","$63.42/unit, $5236.69 total cost"
S0070,Supplier 70,Service Provider,High,Late Delivery,"30-day payment, 5-day delivery",Fair,"Include penalty clauses for late delivery, Seek alternative suppliers, Include compliance monitoring",Yes,"3.87% defect rate, Meets standards","$56.01/unit, $5654.29 total cost"
S0071,Supplier 71,Manufacturer,Low,,"30-day payment, 5-day delivery",Good,Adjust delivery schedules,Yes,"2.17% defect rate, Meets standards","$58.05/unit, $6991.87 total cost"
S0072,Supplier 72,Manufacturer,Low,Substandard Quality,"45-day payment, 10-day delivery",Poor,Seek alternative suppliers,No,"3.63% defect rate, Meets standards","$56.16/unit, $5496.57 total cost"
S0073,Supplier 73,Service Provider,High,Late Delivery,"45-day payment, 10-day delivery",Fair,"Include compliance monitoring, Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"3.07% defect rate, Meets standards","$54.02/unit, $6517.46 total cost"
S0074,Supplier 74,Retailer,Low,,"30-day payment, 5-day delivery",Excellent,Include compliance monitoring,Yes,"3.65% defect rate, Meets standards","$60.16/unit, $5119.0 total cost"
S0075,Supplier 75,Manufacturer,Low,Late Delivery,"45-day payment, 10-day delivery",Excellent,Include compliance monitoring,Yes,"2.66% defect rate, Meets standards","$66.58/unit, $6425.37 total cost"
S0076,Supplier 76,Manufacturer,Low,,"60-day payment, 7-day delivery",Poor,Adjust delivery schedules,Yes,"1.62% defect rate, Meets standards","$50.69/unit, $5836.98 total cost"
S0077,Supplier 77,Distributor,Low,,"30-day payment, 5-day delivery",Good,Adjust delivery schedules,No,"2.68% defect rate, Meets standards","$59.71/unit, $6315.12 total cost"
S0078,Supplier 78,Service Provider,Low,Non-Compliance with Standards,"60-day payment, 7-day delivery",Poor,Include compliance monitoring,No,"2.91% defect rate, Meets standards","$65.04/unit, $5041.15 total cost"
S0079,Supplier 79,Retailer,Low,,"30-day payment, 5-day delivery",Excellent,Seek alternative suppliers,No,"3.71% defect rate, Meets standards","$62.68/unit, $6528.52 total cost"
S0080,Supplier 80,Service Provider,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Good,"Seek alternative suppliers, Include penalty clauses for late delivery, Include compliance monitoring",No,"2.14% defect rate, Meets standards","$69.86/unit, $5328.68 total cost"
S0081,Supplier 81,Service Provider,Low,Substandard Quality,"30-day payment, 5-day delivery",Fair,Include compliance monitoring,Yes,"3.58% defect rate, Meets standards","$51.14/unit, $5501.64 total cost"
S0082,Supplier 82,Manufacturer,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery, Adjust delivery schedules",Yes,"1.94% defect rate, Meets standards","$53.23/unit, $6429.01 total cost"
S0083,Supplier 83,Retailer,Medium,Late Delivery,"30-day payment, 5-day delivery",Good,"Seek alternative suppliers, Include compliance monitoring",No,"4.06% defect rate, Meets standards","$56.39/unit, $6215.31 total cost"
S0084,Supplier 84,Service Provider,Medium,Substandard Quality,"45-day payment, 10-day delivery",Good,"Seek alternative suppliers, Include penalty clauses for late delivery",No,"3.89% defect rate, Meets standards","$50.12/unit, $5508.78 total cost"
S0085,Supplier 85,Distributor,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Poor,"Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"1.47% defect rate, Meets standards","$60.39/unit, $6687.43 total cost"
S0086,Supplier 86,Distributor,Low,Substandard Quality,"30-day payment, 5-day delivery",Excellent,Include compliance monitoring,No,"3.37% defect rate, Meets standards","$62.81/unit, $5113.1 total cost"
S0087,Supplier 87,Retailer,Medium,,"45-day payment, 10-day delivery",Poor,"Seek alternative suppliers, Include compliance monitoring",No,"1.35% defect rate, Meets standards","$58.37/unit, $5415.45 total cost"
S0088,Supplier 88,Distributor,Medium,Substandard Quality,"30-day payment, 5-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules",No,"4.88% defect rate, Meets standards","$58.35/unit, $5358.24 total cost"
S0089,Supplier 89,Manufacturer,Medium,,"30-day payment, 5-day delivery",Fair,"Adjust delivery schedules, Seek alternative suppliers",Yes,"2.36% defect rate, Meets standards","$67.55/unit, $5086.89 total cost"
S0090,Supplier 90,Retailer,Low,Late Delivery,"60-day payment, 7-day delivery",Fair,Adjust delivery schedules,Yes,"1.08% defect rate, Meets standards","$62.24/unit, $6197.26 total cost"
S0091,Supplier 91,Service Provider,Medium,,"30-day payment, 5-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules",No,"3.01% defect rate, Meets standards","$55.27/unit, $6953.14 total cost"
S0092,Supplier 92,Manufacturer,High,,"60-day payment, 7-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules, Include penalty clauses for late delivery",No,"1.49% defect rate, Meets standards","$56.39/unit, $6784.78 total cost"
S0093,Supplier 93,Manufacturer,Low,,"30-day payment, 5-day delivery",Excellent,Adjust delivery schedules,No,"3.6% defect rate, Meets standards","$54.02/unit, $6322.14 total cost"
S0094,Supplier 94,Service Provider,Medium,Non-Compliance with Standards,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Include penalty clauses for late delivery",Yes,"3.92% defect rate, Meets standards","$55.29/unit, $5482.74 total cost"
S0095,Supplier 95,Manufacturer,High,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Adjust delivery schedules, Include compliance monitoring, Seek alternative suppliers",No,"4.44% defect rate, Meets standards","$63.4/unit, $6514.47 total cost"
S0096,Supplier 96,Service Provider,Low,Substandard Quality,"45-day payment, 10-day delivery",Fair,Include penalty clauses for late delivery,No,"4.55% defect rate, Meets standards","$62.76/unit, $6854.6 total cost"
S0097,Supplier 97,Distributor,High,,"45-day payment, 10-day delivery",Excellent,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",No,"2.24% defect rate, Meets standards","$55.23/unit, $6347.15 total cost"
S0098,Supplier 98,Distributor,Low,Substandard Quality,"45-day payment, 10-day delivery",Poor,Seek alternative suppliers,No,"2.43% defect rate, Meets standards","$60.79/unit, $6510.77 total cost"
S0099,Supplier 99,Manufacturer,Medium,Substandard Quality,"45-day payment, 10-day delivery",Fair,"Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"4.9% defect rate, Meets standards","$67.21/unit, $6585.64 total cost"
S0100,Supplier 100,Distributor,High,,"30-day payment, 5-day delivery",Good,"Seek alternative suppliers, Include compliance monitoring, Include penalty clauses for late delivery",Yes,"2.74% defect rate, Meets standards","$55.37/unit, $6260.42 total cost"
S0101,Supplier 101,Retailer,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Poor,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",Yes,"2.62% defect rate, Meets standards","$50.5/unit, $5944.34 total cost"
S0102,Supplier 102,Service Provider,Medium,Late Delivery,"45-day payment, 10-day delivery",Good,"Include compliance monitoring, Adjust delivery schedules",No,"4.7% defect rate, Meets standards","$55.52/unit, $6046.5 total cost"
S0103,Supplier 103,Distributor,Low,,"45-day payment, 10-day delivery",Fair,Adjust delivery schedules,No,"1.75% defect rate, Meets standards","$68.81/unit, $6856.56 total cost"
S0104,Supplier 104,Service Provider,Medium,,"60-day payment, 7-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules",Yes,"2.9% defect rate, Meets standards","$50.41/unit, $6956.57 total cost"
S0105,Supplier 105,Distributor,Medium,Late Delivery,"30-day payment, 5-day delivery",Excellent,"Include penalty clauses for late delivery, Seek alternative suppliers",Yes,"2.94% defect rate, Meets standards","$52.43/unit, $6683.73 total cost"
S0106,Supplier 106,Distributor,Low,Non-Compliance with Standards,"60-day payment, 7-day delivery",Fair,Adjust delivery schedules,No,"3.97% defect rate, Meets standards","$53.47/unit, $5714.07 total cost"
S0107,Supplier 107,Distributor,High,Late Delivery,"45-day payment, 10-day delivery",Poor,"Include compliance monitoring, Adjust delivery schedules, Seek alternative suppliers",No,"2.74% defect rate, Meets standards","$64.13/unit, $6092.74 total cost"
S0108,Supplier 108,Retailer,High,,"60-day payment, 7-day delivery",Excellent,"Include compliance monitoring, Include penalty clauses for late delivery, Seek alternative suppliers",No,"4.45% defect rate, Meets standards","$69.57/unit, $5138.44 total cost"
S0109,Supplier 109,Service Provider,High,Late Delivery,"60-day payment, 7-day delivery",Good,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",Yes,"3.68% defect rate, Meets standards","$61.77/unit, $5475.54 total cost"
S0110,Supplier 110,Distributor,High,Substandard Quality,"45-day payment, 10-day delivery",Good,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",No,"4.72% defect rate, Meets standards","$51.77/unit, $6713.65 total cost"
S0111,Supplier 111,Manufacturer,Medium,Substandard Quality,"60-day payment, 7-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery",No,"2.05% defect rate, Meets standards","$59.16/unit, $5098.79 total cost"
S0112,Supplier 112,Distributor,High,Substandard Quality,"60-day payment, 7-day delivery",Fair,"Include penalty clauses for late delivery, Adjust delivery schedules, Include compliance monitoring",Yes,"4.25% defect rate, Meets standards","$65.66/unit, $6228.0 total cost"
S0113,Supplier 113,Manufacturer,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Excellent,"Adjust delivery schedules, Include penalty clauses for late delivery, Include compliance monitoring",Yes,"1.47% defect rate, Meets standards","$53.58/unit, $6156.9 total cost"
S0114,Supplier 114,Manufacturer,High,Substandard Quality,"45-day payment, 10-day delivery",Fair,"Include compliance monitoring, Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"4.21% defect rate, Meets standards","$55.92/unit, $5049.77 total cost"
S0115,Supplier 115,Manufacturer,High,Late Delivery,"30-day payment, 5-day delivery",Fair,"Include compliance monitoring, Seek alternative suppliers, Include penalty clauses for late delivery",No,"4.39% defect rate, Meets standards","$63.35/unit, $5272.42 total cost"
S0116,Supplier 116,Distributor,High,Non-Compliance with Standards,"30-day payment, 5-day delivery",Good,"Adjust delivery schedules, Include penalty clauses for late delivery, Include compliance monitoring",No,"2.63% defect rate, Meets standards","$56.36/unit, $6180.53 total cost"
S0117,Supplier 117,Retailer,Low,Late Delivery,"45-day payment, 10-day delivery",Poor,Seek alternative suppliers,Yes,"3.8% defect rate, Meets standards","$64.58/unit, $6074.78 total cost"
S0118,Supplier 118,Distributor,Medium,Non-Compliance with Standards,"60-day payment, 7-day delivery",Fair,"Seek alternative suppliers, Include compliance monitoring",No,"4.87% defect rate, Meets standards","$65.9/unit, $5060.75 total cost"
S0119,Supplier 119,Service Provider,High,Late Delivery,"45-day payment, 10-day delivery",Good,"Adjust delivery schedules, Include compliance monitoring, Include penalty clauses for late delivery",No,"1.74% defect rate, Meets standards","$66.62/unit, $6032.09 total cost"
S0120,Supplier 120,Retailer,High,,"45-day payment, 10-day delivery",Good,"Include penalty clauses for late delivery, Seek alternative suppliers, Adjust delivery schedules",Yes,"3.47% defect rate, Meets standards","$61.03/unit, $5043.49 total cost"
S0121,Supplier 121,Service Provider,Medium,Non-Compliance with Standards,"45-day payment, 10-day delivery",Excellent,"Adjust delivery schedules, Seek alternative suppliers",No,"1.19% defect rate, Meets standards","$57.58/unit, $5582.13 total cost"
S0122,Supplier 122,Manufacturer,High,,"45-day payment, 10-day delivery",Poor,"Include penalty clauses for late delivery, Include compliance monitoring, Adjust delivery schedules",No,"2.35% defect rate, Meets standards","$62.37/unit, $5490.43 total cost"
S0123,Supplier 123,Manufacturer,Medium,,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Include penalty clauses for late delivery",No,"1.56% defect rate, Meets standards","$53.73/unit, $5150.57 total cost"
S0124,Supplier 124,Retailer,Low,,"30-day payment, 5-day delivery",Poor,Include penalty clauses for late delivery,Yes,"3.15% defect rate, Meets standards","$54.09/unit, $6347.41 total cost"
S0125,Supplier 125,Distributor,High,,"60-day payment, 7-day delivery",Poor,"Seek alternative suppliers, Adjust delivery schedules, Include penalty clauses for late delivery",Yes,"3.41% defect rate, Meets standards","$66.37/unit, $5857.93 total cost"
S0126,Supplier 126,Manufacturer,High,,"30-day payment, 5-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers, Include penalty clauses for late delivery",No,"4.96% defect rate, Meets standards","$66.35/unit, $5494.71 total cost"
S0127,Supplier 127,Service Provider,Low,,"45-day payment, 10-day delivery",Good,Seek alternative suppliers,Yes,"4.87% defect rate, Meets standards","$58.14/unit, $5537.64 total cost"
S0128,Supplier 128,Manufacturer,High,Late Delivery,"60-day payment, 7-day delivery",Poor,"Adjust delivery schedules, Seek alternative suppliers, Include compliance monitoring",No,"4.53% defect rate, Meets standards","$59.35/unit, $6820.85 total cost"
S0129,Supplier 129,Manufacturer,Low,Substandard Quality,"45-day payment, 10-day delivery",Good,Adjust delivery schedules,Yes,"3.27% defect rate, Meets standards","$58.6/unit, $6100.35 total cost"
